================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 23:45:38
 CSV Telemetry File : logs/telemetry_2026-08-08_23-45-38.csv
 Text System Log File: logs/system_run_2026-08-08_23-45-38.log
================================================================================
[23:45:38.824] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[23:45:39.071] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775671°, 106.670875° [FIX])
[23:45:40.630] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 0.47m, -0.00m) | Conf: 0.37 | GPS: (10.775671°, 106.670877° [FIX])
[23:45:42.187] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.93m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[23:45:43.604] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.41m, -0.00m) | Conf: 0.75 | GPS: (10.775671°, 106.670881° [FIX])
[23:45:45.062] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.86m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[23:45:46.453] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 2.33m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[23:45:47.893] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.81m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[23:45:49.431] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.28m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[23:45:50.936] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.76m, -0.00m) | Conf: 0.60 | GPS: (10.775671°, 106.670892° [FIX])
[23:45:52.367] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.23m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670895° [FIX])
[23:45:53.866] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.70m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670897° [FIX])
[23:45:55.371] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.18m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670899° [FIX])
[23:45:56.744] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.66m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670901° [FIX])
[23:45:58.022] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.11m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[23:45:59.345] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.58m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
[23:46:00.701] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 7.04m, -0.00m) | Conf: 0.85 | GPS: (10.775671°, 106.670907° [FIX])
