================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 00:32:39
 CSV Telemetry File : logs/telemetry_2026-08-09_00-32-39.csv
 Text System Log File: logs/system_run_2026-08-09_00-32-39.log
================================================================================
[00:32:39.700] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[00:32:40.403] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.20m, -0.00m) | Conf: 0.00 | GPS: (10.775671°, 106.670876° [FIX])
[00:32:41.585] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.67m, -0.00m) | Conf: 0.85 | GPS: (10.775671°, 106.670878° [FIX])
[00:32:42.808] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 1.15m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[00:32:44.037] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.06r/s) | Pose: ( 1.62m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670882° [FIX])
[00:32:45.259] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.06° (R) | Vel: (0.45m/s, -0.03r/s) | Pose: ( 2.09m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670885° [FIX])
[00:32:46.413] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 2.54m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670887° [FIX])
[00:32:47.656] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.02m, -0.00m) | Conf: 0.73 | GPS: (10.775671°, 106.670889° [FIX])
[00:32:48.900] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.49m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670891° [FIX])
[00:32:50.122] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.97m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670893° [FIX])
[00:32:51.305] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.42m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670895° [FIX])
[00:32:52.527] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.88m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670898° [FIX])
