================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 12:41:01
 CSV Telemetry File : logs/telemetry_2026-08-09_12-41-01.csv
 Text System Log File: logs/system_run_2026-08-09_12-41-01.log
================================================================================
[12:41:01.168] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[12:41:03.961] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m,  0.00m) | Conf: 0.92 | GPS: (10.775667°, 106.670889° [NO_FIX])
[12:41:05.131] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.44m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670877° [FIX])
[12:41:06.338] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.92m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[12:41:07.532] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.38m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670881° [FIX])
[12:41:08.720] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.05r/s) | Pose: ( 1.84m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[12:41:09.961] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.31m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[12:41:11.202] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.78m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[12:41:12.514] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.03° (L) | Vel: (0.45m/s, +0.04r/s) | Pose: ( 3.25m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[12:41:13.725] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 3.74m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670892° [FIX])
[12:41:14.914] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.21m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[12:41:16.133] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 4.68m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670897° [FIX])
