================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 12:51:50
 CSV Telemetry File : logs/telemetry_2026-08-09_12-51-50.csv
 Text System Log File: logs/system_run_2026-08-09_12-51-50.log
================================================================================
[12:51:50.537] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[12:51:53.580] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m, -0.00m) | Conf: 1.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[12:51:54.661] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.43m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670876° [FIX])
[12:51:55.889] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.93m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670878° [FIX])
[12:51:57.105] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.42m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670880° [FIX])
[12:51:58.223] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 1.87m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670882° [FIX])
[12:51:59.443] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.37m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670885° [FIX])
[12:52:00.565] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.82m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670887° [FIX])
[12:52:01.770] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.31m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670889° [FIX])
[12:52:02.972] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.81m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670891° [FIX])
[12:52:04.146] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.30m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670893° [FIX])
[12:52:05.340] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.80m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670896° [FIX])
[12:52:06.452] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.25m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670898° [FIX])
[12:52:07.662] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 5.74m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670900° [FIX])
[12:52:08.866] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.24m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670902° [FIX])
[12:52:09.965] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.04r/s) | Pose: ( 6.69m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670904° [FIX])
[12:52:11.195] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.18m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670907° [FIX])
