================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 13:04:37
 CSV Telemetry File : logs/telemetry_2026-08-09_13-04-37.csv
 Text System Log File: logs/system_run_2026-08-09_13-04-37.log
================================================================================
[13:04:37.550] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[13:04:39.860] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m, -0.00m) | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[13:04:40.820] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.36m, -0.00m) | GPS: (10.775671°, 106.670875° [FIX])
[13:04:41.940] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.81m, -0.00m) | GPS: (10.775671°, 106.670877° [FIX])
[13:04:43.182] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 1.30m, -0.00m) | GPS: (10.775671°, 106.670880° [FIX])
[13:04:44.457] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.80m, -0.00m) | GPS: (10.775671°, 106.670882° [FIX])
[13:04:45.593] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.02° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.25m, -0.00m) | GPS: (10.775671°, 106.670884° [FIX])
[13:04:46.825] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.74m,  0.00m) | GPS: (10.775671°, 106.670886° [FIX])
[13:04:48.067] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.24m,  0.00m) | GPS: (10.775671°, 106.670888° [FIX])
[13:04:49.302] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.73m, -0.00m) | GPS: (10.775671°, 106.670891° [FIX])
[13:04:50.430] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.18m, -0.00m) | GPS: (10.775671°, 106.670893° [FIX])
[13:04:51.650] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.68m, -0.00m) | GPS: (10.775671°, 106.670895° [FIX])
