================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 13:09:58
 CSV Telemetry File : logs/telemetry_2026-08-09_13-09-58.csv
 Text System Log File: logs/system_run_2026-08-09_13-09-58.log
================================================================================
[13:09:58.567] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[13:09:58.848] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[13:10:00.037] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.43m,  0.00m) | GPS: (10.775671°, 106.670877° [FIX])
[13:10:01.268] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.92m,  0.00m) | GPS: (10.775671°, 106.670879° [FIX])
[13:10:02.491] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.39m, -0.00m) | GPS: (10.775671°, 106.670882° [FIX])
[13:10:03.745] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.01° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.86m,  0.00m) | GPS: (10.775671°, 106.670884° [FIX])
[13:10:04.970] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.32m,  0.00m) | GPS: (10.775671°, 106.670886° [FIX])
[13:10:06.204] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.78m,  0.00m) | GPS: (10.775671°, 106.670888° [FIX])
[13:10:07.489] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.25m, -0.00m) | GPS: (10.775671°, 106.670890° [FIX])
[13:10:08.642] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.71m, -0.00m) | GPS: (10.775671°, 106.670892° [FIX])
[13:10:09.841] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.18m, -0.00m) | GPS: (10.775671°, 106.670894° [FIX])
[13:10:11.009] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.63m, -0.00m) | GPS: (10.775671°, 106.670896° [FIX])
[13:10:12.231] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.10m, -0.00m) | GPS: (10.775671°, 106.670898° [FIX])
[13:10:13.450] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.57m, -0.00m) | GPS: (10.775671°, 106.670900° [FIX])
[13:10:14.635] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.02m, -0.00m) | GPS: (10.775671°, 106.670902° [FIX])
[13:10:15.863] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.49m, -0.00m) | GPS: (10.775671°, 106.670905° [FIX])
[13:10:17.088] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.98m, -0.00m) | GPS: (10.775671°, 106.670907° [FIX])
[13:10:18.316] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 7.45m, -0.00m) | GPS: (10.775671°, 106.670909° [FIX])
[13:10:19.547] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.92m, -0.00m) | GPS: (10.775671°, 106.670911° [FIX])
[13:10:20.806] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.04° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.40m,  0.00m) | GPS: (10.775671°, 106.670914° [FIX])
[13:10:27.684] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[13:10:28.026] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[13:10:28.028] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer: +0.00° | Vel: (0.00m/s, +0.00r/s) | Pose: (11.05m,  0.02m) | GPS: (10.775671°, 106.670926° [FIX])
