================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 13:39:21
 CSV Telemetry File : logs/telemetry_2026-08-09_13-39-21.csv
 Text System Log File: logs/system_run_2026-08-09_13-39-21.log
================================================================================
[13:39:21.316] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[13:39:23.856] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m,  0.00m) | GPS: (10.775671°, 106.670875° [FIX])
[13:39:25.330] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.44m,  0.00m) | GPS: (10.775671°, 106.670877° [FIX])
[13:39:26.847] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.92m,  0.00m) | GPS: (10.775671°, 106.670879° [FIX])
[13:39:28.292] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.01° | Vel: (0.45m/s, +0.01r/s) | Pose: ( 1.39m,  0.00m) | GPS: (10.775671°, 106.670881° [FIX])
[13:39:29.721] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.01° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.84m,  0.00m) | GPS: (10.775671°, 106.670883° [FIX])
[13:39:31.194] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.32m,  0.00m) | GPS: (10.775671°, 106.670886° [FIX])
[13:39:32.659] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.77m, -0.00m) | GPS: (10.775671°, 106.670888° [FIX])
[13:39:34.197] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.01° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 3.23m, -0.00m) | GPS: (10.775671°, 106.670890° [FIX])
[13:39:35.795] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.70m, -0.00m) | GPS: (10.775671°, 106.670892° [FIX])
[13:39:37.307] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.15m, -0.00m) | GPS: (10.775671°, 106.670894° [FIX])
[13:39:38.718] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.63m, -0.00m) | GPS: (10.775671°, 106.670896° [FIX])
[13:39:40.241] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.11m, -0.01m) | GPS: (10.775671°, 106.670899° [FIX])
[13:39:41.654] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.57m, -0.00m) | GPS: (10.775671°, 106.670901° [FIX])
[13:39:43.166] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.02° | Vel: (0.45m/s, +0.01r/s) | Pose: ( 6.05m, -0.00m) | GPS: (10.775671°, 106.670903° [FIX])
[13:39:44.680] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.53m,  0.00m) | GPS: (10.775671°, 106.670905° [FIX])
[13:39:46.043] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 7.00m,  0.00m) | GPS: (10.775671°, 106.670907° [FIX])
[13:39:47.416] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 7.45m,  0.00m) | GPS: (10.775671°, 106.670909° [FIX])
[13:39:48.968] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.07° | Vel: (0.45m/s, +0.01r/s) | Pose: ( 7.92m,  0.00m) | GPS: (10.775671°, 106.670911° [FIX])
[13:39:50.335] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.40m,  0.01m) | GPS: (10.775671°, 106.670913° [FIX])
[13:39:58.829] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[13:39:59.274] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[13:39:59.276] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer: +0.00° | Vel: (0.00m/s, +0.00r/s) | Pose: (11.05m,  0.05m) | GPS: (10.775671°, 106.670926° [FIX])
[13:40:00.407] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: -82.88° | Vel: (0.11m/s, -1.50r/s) | Pose: (11.07m,  0.03m) | GPS: (10.775671°, 106.670926° [FIX])
[13:40:01.957] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: -41.88° | Vel: (0.25m/s, -0.38r/s) | Pose: (11.02m, -0.17m) | GPS: (10.775671°, 106.670927° [FIX])
[13:40:03.399] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: -0.93° | Vel: (0.25m/s, -0.01r/s) | Pose: (10.86m, -0.37m) | GPS: (10.775670°, 106.670927° [FIX])
[13:40:05.013] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: -0.02° | Vel: (0.25m/s, -0.00r/s) | Pose: (10.70m, -0.57m) | GPS: (10.775669°, 106.670928° [FIX])
[13:40:05.266] [FSM_TRANSITION ] PATH_FOLLOWING -> UTURN_EXECUTION
[13:40:06.465] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.50m, -0.67m) | GPS: (10.775668°, 106.670929° [FIX])
[13:40:08.031] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.37m, -0.47m) | GPS: (10.775667°, 106.670930° [FIX])
[13:40:09.590] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.58m, -0.35m) | GPS: (10.775666°, 106.670930° [FIX])
[13:40:11.066] [FSM_TRANSITION ] UTURN_EXECUTION -> TRACKING
[13:40:11.072] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.69m, -0.56m) | GPS: (10.775665°, 106.670929° [FIX])
[13:40:12.666] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.74° | Vel: (0.45m/s, -0.08r/s) | Pose: (10.47m, -0.95m) | GPS: (10.775665°, 106.670927° [FIX])
[13:40:14.175] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.55° | Vel: (0.45m/s, -0.07r/s) | Pose: (10.18m, -1.34m) | GPS: (10.775664°, 106.670925° [FIX])
[13:40:15.568] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.30° | Vel: (0.45m/s, -0.04r/s) | Pose: ( 9.88m, -1.69m) | GPS: (10.775664°, 106.670923° [FIX])
[13:40:17.146] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.27° | Vel: (0.45m/s, -0.03r/s) | Pose: ( 9.55m, -2.04m) | GPS: (10.775664°, 106.670921° [FIX])
[13:40:18.737] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.17° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 9.21m, -2.37m) | GPS: (10.775664°, 106.670919° [FIX])
[13:40:20.310] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.08° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 8.86m, -2.70m) | GPS: (10.775664°, 106.670916° [FIX])
[13:40:21.897] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.08° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 8.51m, -3.02m) | GPS: (10.775664°, 106.670914° [FIX])
[13:40:23.437] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.05° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 8.16m, -3.33m) | GPS: (10.775664°, 106.670912° [FIX])
[13:40:24.974] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.06° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 7.80m, -3.64m) | GPS: (10.775663°, 106.670910° [FIX])
[13:40:26.703] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.02° | Vel: (0.45m/s, +0.01r/s) | Pose: ( 7.44m, -3.94m) | GPS: (10.775663°, 106.670908° [FIX])
[13:40:28.264] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.09m, -4.24m) | GPS: (10.775663°, 106.670906° [FIX])
[13:40:29.773] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.08° | Vel: (0.45m/s, -0.02r/s) | Pose: ( 6.73m, -4.54m) | GPS: (10.775663°, 106.670904° [FIX])
[13:40:31.298] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.36m, -4.84m) | GPS: (10.775663°, 106.670902° [FIX])
[13:40:32.776] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.99m, -5.15m) | GPS: (10.775663°, 106.670899° [FIX])
[13:40:34.287] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.01° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.64m, -5.43m) | GPS: (10.775663°, 106.670897° [FIX])
[13:40:35.919] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.28m, -5.73m) | GPS: (10.775663°, 106.670895° [FIX])
[13:40:37.455] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.91m, -6.03m) | GPS: (10.775663°, 106.670893° [FIX])
[13:40:39.003] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.56m, -6.31m) | GPS: (10.775663°, 106.670891° [FIX])
[13:40:40.584] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.20m, -6.61m) | GPS: (10.775663°, 106.670889° [FIX])
[13:40:42.007] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.83m, -6.91m) | GPS: (10.775663°, 106.670886° [FIX])
[13:40:43.343] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.48m, -7.20m) | GPS: (10.775663°, 106.670884° [FIX])
[13:40:44.645] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.12m, -7.49m) | GPS: (10.775663°, 106.670882° [FIX])
[13:40:45.949] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.77m, -7.78m) | GPS: (10.775663°, 106.670880° [FIX])
[13:40:47.329] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.40m, -8.08m) | GPS: (10.775663°, 106.670878° [FIX])
[13:40:48.649] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: -0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.03m, -8.38m) | GPS: (10.775663°, 106.670876° [FIX])
