Time,Unix_Timestamp,FSM_State,Pos_X_m,Pos_Y_m,Yaw_rad,Steer_Angle_deg,Linear_Vel_mps,Angular_Vel_radps,IMU_Yaw_rad,IMU_Angular_Vel_z,IMU_Accel_x,Confidence,Dist_Traveled_m,GPS_Latitude,GPS_Longitude,GPS_Altitude_m,GPS_DMS,GPS_Status,Event
12:35:48.586,1786253748.586,TRACKING,-0.000,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.925,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",ODOM_ESTIMATED,
12:35:48.598,1786253748.599,TRACKING,-0.000,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.925,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",ODOM_ESTIMATED,
12:35:48.661,1786253748.662,TRACKING,0.018,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.953,0.02,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:48.762,1786253748.762,TRACKING,0.054,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.953,0.05,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:48.859,1786253748.860,TRACKING,0.090,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.972,0.09,10.77567062,106.67087557,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:48.933,1786253748.934,TRACKING,0.108,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.991,0.11,10.77567062,106.67087557,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:49.032,1786253749.033,TRACKING,0.144,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.14,10.77567062,106.67087557,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:49.090,1786253749.090,TRACKING,0.162,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.16,10.77567062,106.67087599,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:49.183,1786253749.184,TRACKING,0.198,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.20,10.77567062,106.67087599,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:49.255,1786253749.255,TRACKING,0.225,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.23,10.77567062,106.67087599,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
12:35:49.329,1786253749.330,TRACKING,0.261,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.26,10.77567062,106.67087640,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.396,1786253749.396,TRACKING,0.288,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.29,10.77567062,106.67087640,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.472,1786253749.472,TRACKING,0.315,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.32,10.77567062,106.67087640,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.537,1786253749.538,TRACKING,0.342,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.34,10.77567062,106.67087681,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.612,1786253749.612,TRACKING,0.378,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.38,10.77567062,106.67087681,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.675,1786253749.676,TRACKING,0.405,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.41,10.77567062,106.67087681,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.757,1786253749.758,TRACKING,0.441,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.44,10.77567062,106.67087722,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.836,1786253749.836,TRACKING,0.468,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.47,10.77567062,106.67087722,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.909,1786253749.909,TRACKING,0.504,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.50,10.77567062,106.67087722,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:49.983,1786253749.983,TRACKING,0.531,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.53,10.77567062,106.67087763,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.048,1786253750.048,TRACKING,0.549,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.55,10.77567062,106.67087763,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.116,1786253750.116,TRACKING,0.585,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.59,10.77567062,106.67087763,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.199,1786253750.199,TRACKING,0.621,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.62,10.77567062,106.67087804,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.272,1786253750.273,TRACKING,0.648,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.65,10.77567062,106.67087804,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.343,1786253750.344,TRACKING,0.675,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.68,10.77567062,106.67087804,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.416,1786253750.417,TRACKING,0.702,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.70,10.77567062,106.67087846,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.485,1786253750.486,TRACKING,0.729,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.73,10.77567062,106.67087846,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.561,1786253750.562,TRACKING,0.765,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.77,10.77567062,106.67087846,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.630,1786253750.630,TRACKING,0.792,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.79,10.77567062,106.67087887,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.712,1786253750.713,TRACKING,0.828,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.83,10.77567062,106.67087887,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.770,1786253750.770,TRACKING,0.846,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.85,10.77567062,106.67087887,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
12:35:50.856,1786253750.857,TRACKING,0.882,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.88,10.77567062,106.67087928,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:50.929,1786253750.930,TRACKING,0.909,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.91,10.77567062,106.67087928,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:50.999,1786253750.999,TRACKING,0.936,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.94,10.77567062,106.67087928,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.074,1786253751.075,TRACKING,0.972,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.97,10.77567062,106.67087969,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.146,1786253751.147,TRACKING,0.999,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.00,10.77567062,106.67087969,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.217,1786253751.217,TRACKING,1.026,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.03,10.77567062,106.67087969,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.294,1786253751.295,TRACKING,1.062,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.06,10.77567062,106.67088010,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.372,1786253751.372,TRACKING,1.098,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.10,10.77567062,106.67088010,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
12:35:51.429,1786253751.430,TRACKING,1.116,0.000,0.000,0.02,0.450,-0.068,0.000,0.000,0.000,1.000,1.12,10.77567062,106.67088010,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
